"ID","SRC_ID","NAME","COUNTRY_CODE","EASTING","NORTHING","HYDROMETRIC_AREA","ELEVATION","GEOG_PATH"
422365,9687,"MOCHDRE","GB-GBN",308500,289500,54,130,"/BI/UK/GB/WAL/POWN/"
422367,1192,"NEWTOWN","GB-GBN",309100,290000,54,120,"/BI/UK/GB/WAL/POWN/"
422452,9688,"PENARTH WEIR","GB-GBN",313900,292600,54,98,"/BI/UK/GB/WAL/POWN/"
422493,9689,"GREGYNOG HALL NO 2","GB-GBN",308522,297540,54,192,"/BI/UK/GB/WAL/POWN/"
422661,9690,"ABERMULE, BYLIS LOCK","GB-GBN",315500,294500,54,91,"/BI/UK/GB/WAL/POWN/"
422693,9691,"LOWER CEFN PERFA","GB-GBN",312987,289188,54,229,"/BI/UK/GB/WAL/POWN/"
422694,9692,"KERRY","GB-GBN",313100,289400,54,213,"/BI/UK/GB/WAL/POWN/"
422899,9693,"LLANDYSSIL, COED-Y-WIG","GB-GBN",319300,296100,54,163,"/BI/UK/GB/WAL/POWN/"
423007,9694,"GARTHMYL HALL","GB-GBN",319000,299000,54,101,"/BI/UK/GB/WAL/POWN/"
423008,9695,"GARTHMYL LODGE","GB-GBN",319356,298991,54,85,"/BI/UK/GB/WAL/POWN/"
423142,9696,"CEFN COCH","GB-GBN",302300,300700,54,261,"/BI/UK/GB/WAL/POWN/"
423144,56043,"BEUDYHIR","GB-GBN",304130,302560,54,312,"/BI/UK/GB/WAL/POWY/"
423292,9698,"MANAFON","GB-GBN",311208,302391,54,134,"/BI/UK/GB/WAL/POWN/"
423330,9699,"BERRIEW, GLYNCOGEN","GB-GBN",313600,303000,54,126,"/BI/UK/GB/WAL/POWN/"
423383,9700,"BERRIEW, VAYNOR PARK","GB-GBN",317200,300000,54,198,"/BI/UK/GB/WAL/POWN/"
423499,9701,"CHURCH STOKE, BROADWAY HALL","GB-GBN",329854,292954,54,145,"/BI/UK/GB/WAL/POWN/"
423510,9702,"CHURCH STOKE","GB-GBN",329100,293300,54,140,"/BI/UK/GB/WAL/POWN/"
423597,9703,"SARN","GB-GBN",319800,290400,54,213,"/BI/UK/GB/WAL/POWN/"
423599,56045,"SARN NO2","GB-GBN",320640,290570,54,190,"/BI/UK/GB/WAL/POWY/"
423667,9705,"BROMPTON","GB-GBN",324200,293000,54,148,"/BI/UK/GB/ENG/SAL/"
423760,9706,"MARRINGTON HALL","GB-GBN",327200,297400,54,150,"/BI/UK/GB/ENG/SAL/"
423879,9708,"CHIRBURY, OAKLEE","GB-GBN",326000,298400,54,108,"/BI/UK/GB/WAL/POWN/"
423880,9709,"CHIRBURY","GB-GBN",326300,298500,54,113,"/BI/UK/GB/WAL/POWN/"
423881,9710,"CHIRBURY, CAMLAD FLATS","GB-GBN",326400,298400,54,122,"/BI/UK/GB/WAL/POWN/"
423882,23513,"CHIRBURY HALL","GB-GBN",326167,298562,54,107,"/BI/UK/GB/ENG/SAL/"
423905,1195,"FORDEN NO 3","GB-GBN",323900,302300,54,150,"/BI/UK/GB/WAL/POWN/"
423906,1194,"FORDEN NO 2","GB-GBN",324100,302300,54,135,"/BI/UK/GB/WAL/POWN/"
423999,1193,"FORDEN","GB-GBN",322000,300500,54,91,"/BI/UK/GB/WAL/POWN/"
424053,9711,"BRITHDIR HALL","GB-GBN",319400,302600,54,107,"/BI/UK/GB/WAL/POWN/"
424162,9712,"CASTLE CAEREINION","GB-GBN",316400,305500,54,175,"/BI/UK/GB/WAL/POWN/"
424189,9713,"FRON LLWYD","GB-GBN",321500,307700,54,152,"/BI/UK/GB/WAL/POWN/"
424199,9714,"WELSHPOOL, BRYN FROCHAS","GB-GBN",319500,308100,54,213,"/BI/UK/GB/WAL/POWN/"
424210,9715,"POWIS CASTLE","GB-GBN",321800,306500,54,102,"/BI/UK/GB/WAL/POWN/"
424215,9716,"WELSHPOOL CO SCHOOL","GB-GBN",322800,307000,54,77,"/BI/UK/GB/WAL/POWN/"
424216,9717,"WELSHPOOL S WKS","GB-GBN",323462,307224,54,70,"/BI/UK/GB/WAL/POWN/"
424217,9717,"WELSHPOOL S WKS","GB-GBN",323462,307224,54,70,"/BI/UK/GB/WAL/POWN/"
424237,1196,"HOPE","GB-GBN",324900,307700,54,91,"/BI/UK/GB/WAL/POWN/"
424242,9718,"HOPE, BUTTINGTON VIEW","GB-GBN",325925,307397,54,198,"/BI/UK/GB/WAL/POWN/"
424314,9719,"MIDDLETOWN, ISFRYN","GB-GBN",330700,312600,54,145,"/BI/UK/GB/WAL/POWN/"
424316,9720,"MIDDLETOWN","GB-GBN",330400,312500,54,137,"/BI/UK/GB/WAL/POWN/"
424485,9721,"GUILSFIELD","GB-GBN",322600,312400,54,79,"/BI/UK/GB/WAL/POWN/"
424510,9722,"LLANYMYNECH, PENRHOS VICARAGE","GB-GBN",323500,316500,54,91,"/BI/UK/GB/WAL/POWN/"
