"ID","SRC_ID","NAME","COUNTRY_CODE","EASTING","NORTHING","HYDROMETRIC_AREA","ELEVATION","GEOG_PATH"
465139,10464,"CERIGLLWYDION","GB-GBN",284300,269200,55,521,"/BI/UK/GB/WAL/POWS/"
465142,10465,"BRYN HIR","GB-GBN",284300,268100,55,448,"/BI/UK/GB/WAL/POWS/"
465164,10466,"ESGAIR-Y-GADER","GB-GBN",285900,266500,55,504,"/BI/UK/GB/WAL/POWS/"
465205,10467,"ARBAN","GB-GBN",283000,262900,55,457,"/BI/UK/GB/WAL/POWS/"
465219,10468,"ESGAIR GARTHEN","GB-GBN",284200,264300,55,485,"/BI/UK/GB/WAL/POWS/"
465259,10469,"CILOERWYNT","GB-GBN",288223,262976,55,319,"/BI/UK/GB/WAL/POWS/"
465260,10469,"CILOERWYNT","GB-GBN",288223,262976,55,319,"/BI/UK/GB/WAL/POWS/"
465262,10470,"NANT-Y-CAR","GB-GBN",287700,261700,55,475,"/BI/UK/GB/WAL/POWS/"
465276,10471,"CORS YR HWCH","GB-GBN",285900,260000,55,550,"/BI/UK/GB/WAL/POWS/"
465293,10472,"LLYN CARW","GB-GBN",285100,261400,55,541,"/BI/UK/GB/WAL/POWS/"
465347,10473,"ESGAIR CEILIOG","GB-GBN",289800,260100,55,475,"/BI/UK/GB/WAL/POWS/"
465365,10474,"TYRMYNYDD","GB-GBN",291400,262500,55,254,"/BI/UK/GB/WAL/POWS/"
465380,10475,"TYN-Y-PANT","GB-GBN",292600,262600,55,402,"/BI/UK/GB/WAL/POWS/"
465390,10476,"ELAN VILLAGE","GB-GBN",293100,264900,55,213,"/BI/UK/GB/WAL/POWS/"
465396,10477,"ELAN VILLAGE NO 2","GB-GBN",293443,265180,55,213,"/BI/UK/GB/WAL/POWS/"
465397,10477,"ELAN VILLAGE NO 2","GB-GBN",293443,265180,55,213,"/BI/UK/GB/WAL/POWS/"
465745,10480,"LOWER CAMNANT","GB-GBN",308600,282900,55,338,"/BI/UK/GB/WAL/POWS/"
465794,10481,"PEN-ITHON","GB-GBN",307300,281300,55,366,"/BI/UK/GB/WAL/POWS/"
465883,10482,"BRYNGYDFA","GB-GBN",311700,281500,55,389,"/BI/UK/GB/WAL/POWS/"
465927,10483,"LLANBADARN-FYNYDD","GB-GBN",309695,277785,55,297,"/BI/UK/GB/WAL/POWS/"
465928,10483,"LLANBADARN-FYNYDD","GB-GBN",309695,277785,55,297,"/BI/UK/GB/WAL/POWS/"
465990,10485,"LLANANNO","GB-GBN",309500,274500,55,275,"/BI/UK/GB/WAL/POWS/"
466126,10486,"LLANDDEWI-YSTRADENNY","GB-GBN",310700,268500,55,234,"/BI/UK/GB/WAL/POWS/"
466138,10487,"LLANDDEWI-YSTRADENNY NO 2","GB-GBN",310900,268300,55,245,"/BI/UK/GB/WAL/POWS/"
466194,10488,"BRYNMELYN","GB-GBN",315400,274200,55,362,"/BI/UK/GB/WAL/POWS/"
466400,10489,"PENYBONT HALL","GB-GBN",311100,264200,55,226,"/BI/UK/GB/WAL/POWS/"
466433,10490,"GREAT TREWERN","GB-GBN",315000,262400,55,277,"/BI/UK/GB/WAL/POWS/"
466560,10491,"BWLCH-Y-SARNAU","GB-GBN",303100,274700,55,393,"/BI/UK/GB/WAL/POWS/"
466561,25048,"BWLCH Y SARNAU","GB-GBN",303005,274621,55,395,"/BI/UK/GB/WAL/POWS/"
466562,25048,"BWLCH Y SARNAU","GB-GBN",303005,274621,55,395,"/BI/UK/GB/WAL/POWS/"
466586,10493,"ABBEYCWMHIR, FORESTERS HOUSE NO 1","GB-GBN",304400,271900,55,290,"/BI/UK/GB/WAL/POWS/"
466587,10493,"ABBEYCWMHIR, FORESTERS HOUSE NO 1","GB-GBN",304400,271900,55,290,"/BI/UK/GB/WAL/POWS/"
466615,10494,"ABBEYCWMHIR, HALL","GB-GBN",305500,271200,55,268,"/BI/UK/GB/WAL/POWS/"
466845,10495,"RHAYADER, NEW INN FARM","GB-GBN",302400,268800,55,247,"/BI/UK/GB/WAL/POWS/"
466956,1244,"LLANDRINDOD WELLS NO 2","GB-GBN",305600,261600,55,195,"/BI/UK/GB/WAL/POWS/"
466957,56325,"LLANYRE S WKS","GB-GBN",305160,262370,55,191,"/BI/UK/GB/WAL/POWY/"
466958,56325,"LLANYRE S WKS","GB-GBN",305160,262370,55,191,"/BI/UK/GB/WAL/POWY/"
466995,1242,"LLANDRINDOD WELLS","GB-GBN",306100,260500,55,235,"/BI/UK/GB/WAL/POWS/"
467001,10496,"LLANDRINDOD WELLS S WKS","GB-GBN",305200,260800,55,171,"/BI/UK/GB/WAL/POWS/"
467002,10497,"LLANDRINDOD WELLS, RHYDLLYNDDU S WKS","GB-GBN",305000,260600,55,171,"/BI/UK/GB/WAL/POWS/"
467004,10497,"LLANDRINDOD WELLS, RHYDLLYNDDU S WKS","GB-GBN",305000,260600,55,171,"/BI/UK/GB/WAL/POWS/"
471814,10579,"BLEDDFA FOREST","GB-GBN",318800,267000,55,365,"/BI/UK/GB/WAL/POWS/"
471815,10579,"BLEDDFA FOREST","GB-GBN",318800,267000,55,365,"/BI/UK/GB/WAL/POWS/"
471824,10581,"CWMYGERWYN NO 2","GB-GBN",319400,267100,55,297,"/BI/UK/GB/WAL/POWS/"
471825,10582,"CWMYGERWYN","GB-GBN",319700,267200,55,335,"/BI/UK/GB/WAL/POWS/"
472158,56157,"BREAK YOUR NECK FALLS","GB-GBN",318103,260019,55,368,"/BI/UK/GB/WAL/POWY/"
472159,56157,"BREAK YOUR NECK FALLS","GB-GBN",318103,260019,55,368,"/BI/UK/GB/WAL/POWY/"
500338,11104,"MOEL PRYSCAU","GB-GBN",280600,261100,60,381,"/BI/UK/GB/WAL/DYFD/"
500340,11105,"LLYN-DU","GB-GBN",277900,260900,60,488,"/BI/UK/GB/WAL/DYFD/"
513530,11221,"TEIFI RESR","GB-GBN",278400,267900,62,415,"/BI/UK/GB/WAL/DYFD/"
513564,11222,"EGNANT RESR","GB-GBN",279000,267200,62,436,"/BI/UK/GB/WAL/DYFD/"
513603,11223,"STRATA FLORIDA S WKS","GB-GBN",275500,265900,62,223,"/BI/UK/GB/WAL/DYFD/"
513643,11224,"PANTYFEDWEN","GB-GBN",275500,265000,62,244,"/BI/UK/GB/WAL/DYFD/"
519171,11262,"NANT RHYS","GB-GBN",283400,280400,63,480,"/BI/UK/GB/WAL/DYFD/"
519357,1211,"CWMYSTWYTH","GB-GBN",277300,274916,63,301,"/BI/UK/GB/WAL/DYFD/"
519358,1211,"CWMYSTWYTH","GB-GBN",277300,274916,63,301,"/BI/UK/GB/WAL/DYFD/"
519359,1211,"CWMYSTWYTH","GB-GBN",277300,274916,63,301,"/BI/UK/GB/WAL/DYFD/"
519960,11267,"LLYGAD RHEIDOL, HIGHER","GB-GBN",279300,287500,63,503,"/BI/UK/GB/WAL/DYFD/"
519963,11268,"LLYGAD RHEIDOL, LOWER","GB-GBN",279100,287800,63,506,"/BI/UK/GB/WAL/DYFD/"
520005,11269,"MAESNANT","GB-GBN",277600,287800,63,434,"/BI/UK/GB/WAL/DYFD/"
520074,11270,"NANT-Y-MOCH, UPPER","GB-GBN",276400,286700,63,380,"/BI/UK/GB/WAL/DYFD/"
520080,11271,"NANT-Y-MOCH","GB-GBN",276300,287100,63,323,"/BI/UK/GB/WAL/DYFD/"
522046,11289,"DYLIFE","GB-GBN",285500,294100,64,411,"/BI/UK/GB/WAL/POWN/"
522086,11290,"CWM MAWR, PENNANT","GB-GBN",289300,295800,64,366,"/BI/UK/GB/WAL/POWN/"
522679,11296,"GLASLYN NO 2","GB-GBN",283100,294400,64,497,"/BI/UK/GB/WAL/POWN/"
522720,11297,"RHIW-GAM","GB-GBN",279800,294200,64,381,"/BI/UK/GB/WAL/POWN/"
522791,11298,"ABERHOSAN, TREM-Y-FOEL","GB-GBN",281100,297300,64,145,"/BI/UK/GB/WAL/POWN/"
522799,11299,"ABERHOSAN","GB-GBN",281200,297400,64,131,"/BI/UK/GB/WAL/POWN/"
522873,1184,"ABERHOSAN, RHOSWYDOL","GB-GBN",284060,297680,64,244,"/BI/UK/GB/WAL/POWN/"
